product_id,product_name,category,sale_id,units_sold,price_per_unit,sale_date,Total_Sales_Amount
PROD1028,Evidence,Electronics,1355,4,45386,2023-10-28,181544
PROD1028,Evidence,Electronics,1381,7,69233,2024-07-04,484631
PROD1028,Evidence,Electronics,1425,3,6864,2024-08-21,20592
PROD1028,Evidence,Electronics,1504,2,30182,2024-11-29,60364
PROD1028,Evidence,Electronics,1563,10,45141,2023-08-27,451410
PROD1028,Evidence,Electronics,1617,4,23013,2024-09-24,92052
PROD1028,Evidence,Electronics,1628,5,19749,2025-01-24,98745
PROD1028,Evidence,Electronics,1696,9,57313,2025-02-25,515817
PROD1028,Evidence,Electronics,1734,3,28889,2024-05-06,86667
PROD1028,Evidence,Electronics,1804,7,61831,2023-12-09,432817
PROD1028,Evidence,Electronics,1845,8,33321,2024-08-04,266568
PROD1028,Evidence,Electronics,1848,4,43413,2025-01-25,173652
PROD1028,Evidence,Electronics,1976,7,24047,2025-06-19,168329
PROD1029,Table,Electronics,1278,8,41384,2025-03-23,331072
PROD1029,Table,Electronics,1390,3,62635,2025-01-25,187905
PROD1029,Table,Electronics,1403,7,65975,2024-03-13,461825
PROD1029,Table,Electronics,1668,8,34263,2024-07-29,274104
PROD1029,Table,Electronics,1680,7,26250,2025-04-15,183750
PROD1029,Table,Electronics,1802,7,20703,2024-07-20,144921
PROD1029,Table,Electronics,1817,5,48335,2025-02-21,241675
PROD1029,Table,Electronics,1869,9,39901,2024-09-27,359109
PROD1029,Table,Electronics,1962,6,62830,2025-02-09,376980
PROD1029,Table,Electronics,1981,9,30424,2025-02-19,273816
PROD1030,Hard,Electronics,1026,5,55330,2023-08-12,276650
PROD1030,Hard,Electronics,1072,2,40514,2024-01-27,81028
PROD1030,Hard,Electronics,1098,9,14797,2024-12-14,133173
PROD1030,Hard,Electronics,1101,6,67589,2025-05-23,405534
PROD1030,Hard,Electronics,1198,5,47730,2024-02-05,238650
PROD1030,Hard,Electronics,1434,3,40000,2023-07-27,120000
PROD1030,Hard,Electronics,1670,9,49199,2023-08-31,442791
PROD1030,Hard,Electronics,1906,4,61173,2023-08-20,244692
PROD1030,Hard,Electronics,1947,2,67884,2024-06-28,135768
PROD1048,Order,Electronics,1123,2,60924,2025-01-02,121848
PROD1048,Order,Electronics,1819,6,42727,2023-09-15,256362
PROD1048,Order,Electronics,1899,9,34246,2025-06-12,308214
PROD1048,Order,Electronics,1933,9,51690,2024-11-24,465210
PROD1048,Order,Electronics,1965,10,58661,2024-08-25,586610
PROD1049,Cut,Electronics,1015,4,69906,2024-06-05,279624
PROD1049,Cut,Electronics,1068,7,58163,2024-01-18,407141
PROD1049,Cut,Electronics,1109,5,51531,2024-08-10,257655
PROD1049,Cut,Electronics,1436,7,15852,2024-08-13,110964
PROD1049,Cut,Electronics,1546,6,7847,2024-04-25,47082
PROD1049,Cut,Electronics,1568,6,3128,2024-12-27,18768
PROD1049,Cut,Electronics,1575,9,21964,2024-02-23,197676
PROD1049,Cut,Electronics,1700,5,45414,2024-10-18,227070
PROD1049,Cut,Electronics,1708,7,4698,2023-09-11,32886
PROD1049,Cut,Electronics,1760,5,46578,2024-12-22,232890
PROD1049,Cut,Electronics,1870,10,34454,2024-03-18,344540
PROD1049,Cut,Electronics,1882,9,28062,2024-10-14,252558
PROD1049,Cut,Electronics,1957,5,16816,2024-11-28,84080
PROD1053,Buy,Electronics,1018,2,13511,2023-07-28,27022
PROD1053,Buy,Electronics,1062,6,64074,2024-12-16,384444
PROD1053,Buy,Electronics,1226,9,25485,2023-10-03,229365
PROD1053,Buy,Electronics,1318,2,10371,2025-02-05,20742
PROD1053,Buy,Electronics,1414,7,61857,2025-06-17,432999
PROD1053,Buy,Electronics,1520,6,41541,2023-11-15,249246
PROD1053,Buy,Electronics,1609,5,28747,2023-07-20,143735
PROD1053,Buy,Electronics,1630,1,55958,2024-02-25,55958
PROD1053,Buy,Electronics,1638,8,2290,2024-03-02,18320
PROD1053,Buy,Electronics,1644,2,15957,2025-03-24,31914
PROD1053,Buy,Electronics,1710,1,65818,2025-06-30,65818
PROD1053,Buy,Electronics,1990,4,3794,2023-10-31,15176
PROD1062,Behavior,Electronics,1003,4,38671,2024-08-20,154684
PROD1062,Behavior,Electronics,1009,4,17118,2024-07-30,68472
PROD1062,Behavior,Electronics,1078,10,9853,2024-10-31,98530
PROD1062,Behavior,Electronics,1333,8,20522,2024-03-14,164176
PROD1062,Behavior,Electronics,1508,2,39021,2023-12-06,78042
PROD1062,Behavior,Electronics,1514,4,16212,2024-11-27,64848
PROD1062,Behavior,Electronics,1631,8,47245,2025-05-06,377960
PROD1062,Behavior,Electronics,1717,4,23194,2025-06-23,92776
PROD1062,Behavior,Electronics,1856,9,47008,2025-05-02,423072
PROD1062,Behavior,Electronics,1973,4,22721,2023-07-02,90884
PROD1065,Bar,Electronics,1016,8,41341,2023-11-30,330728
PROD1065,Bar,Electronics,1022,5,59734,2025-02-26,298670
PROD1065,Bar,Electronics,1031,5,26895,2024-08-28,134475
PROD1065,Bar,Electronics,1232,1,17033,2024-06-01,17033
PROD1065,Bar,Electronics,1382,5,19210,2023-10-25,96050
PROD1065,Bar,Electronics,1387,4,61956,2023-10-25,247824
PROD1065,Bar,Electronics,1464,6,8989,2024-12-25,53934
PROD1065,Bar,Electronics,1619,8,35604,2023-12-16,284832
PROD1065,Bar,Electronics,1743,4,7107,2023-10-10,28428
PROD1065,Bar,Electronics,1803,7,3312,2025-03-08,23184
PROD1065,Bar,Electronics,1893,9,47733,2024-06-03,429597
PROD1066,Little,Electronics,1273,5,29674,2025-03-19,148370
PROD1066,Little,Electronics,1447,1,49836,2024-05-07,49836
PROD1066,Little,Electronics,1720,5,1932,2024-10-12,9660
PROD1066,Little,Electronics,1834,6,34787,2024-03-28,208722
PROD1068,Quickly,Electronics,1112,4,51056,2024-06-10,204224
PROD1068,Quickly,Electronics,1466,6,20015,2023-07-23,120090
PROD1068,Quickly,Electronics,1885,6,29599,2024-10-07,177594
PROD1068,Quickly,Electronics,1992,7,64406,2023-07-02,450842
PROD1071,Avoid,Electronics,1048,1,62264,2023-08-18,62264
PROD1071,Avoid,Electronics,1050,3,32169,2023-07-07,96507
PROD1071,Avoid,Electronics,1146,1,3093,2024-11-01,3093
PROD1071,Avoid,Electronics,1266,1,22743,2024-07-09,22743
PROD1071,Avoid,Electronics,1472,1,3908,2024-06-01,3908
PROD1071,Avoid,Electronics,1478,10,46175,2025-01-12,461750
PROD1071,Avoid,Electronics,1516,3,11840,2024-01-05,35520
PROD1071,Avoid,Electronics,1553,1,13173,2023-09-08,13173
PROD1071,Avoid,Electronics,1641,7,44529,2024-01-16,311703
PROD1072,Reality,Electronics,1070,4,27908,2024-10-31,111632
PROD1072,Reality,Electronics,1086,2,31306,2025-03-25,62612
PROD1072,Reality,Electronics,1215,3,45611,2023-07-05,136833
PROD1072,Reality,Electronics,1249,2,26209,2023-11-10,52418
PROD1072,Reality,Electronics,1267,5,51939,2025-06-15,259695
PROD1072,Reality,Electronics,1298,6,25771,2025-01-10,154626
PROD1072,Reality,Electronics,1349,8,50181,2024-02-01,401448
PROD1072,Reality,Electronics,1433,9,33000,2025-04-13,297000
PROD1072,Reality,Electronics,1443,5,35273,2023-08-17,176365
PROD1072,Reality,Electronics,1474,1,2985,2025-03-02,2985
PROD1072,Reality,Electronics,1500,7,37984,2023-08-18,265888
PROD1072,Reality,Electronics,1524,10,6160,2025-03-17,61600
PROD1072,Reality,Electronics,1612,2,53153,2024-07-14,106306
PROD1072,Reality,Electronics,1851,3,12883,2023-12-13,38649
PROD1072,Reality,Electronics,1861,8,43489,2025-06-11,347912
PROD1072,Reality,Electronics,1908,1,65558,2024-04-21,65558
PROD1072,Reality,Electronics,1956,9,55401,2024-02-17,498609
PROD1074,Environmental,Electronics,1002,7,52726,2025-06-09,369082
PROD1074,Environmental,Electronics,1065,2,27736,2025-01-03,55472
PROD1074,Environmental,Electronics,1130,3,69723,2024-04-04,209169
PROD1074,Environmental,Electronics,1153,3,49365,2023-08-11,148095
PROD1074,Environmental,Electronics,1580,10,4184,2024-06-23,41840
PROD1074,Environmental,Electronics,1800,1,58862,2025-02-12,58862
PROD1074,Environmental,Electronics,1998,9,30980,2024-03-14,278820
PROD1078,Politics,Electronics,1025,3,31320,2023-12-24,93960
PROD1078,Politics,Electronics,1040,9,21779,2024-01-15,196011
PROD1078,Politics,Electronics,1348,6,33803,2025-01-10,202818
PROD1078,Politics,Electronics,1395,8,44489,2024-09-24,355912
PROD1078,Politics,Electronics,1623,8,25816,2023-10-22,206528
PROD1078,Politics,Electronics,1733,4,26198,2024-06-06,104792
PROD1078,Politics,Electronics,1783,9,30257,2023-10-03,272313
PROD1078,Politics,Electronics,1865,9,23228,2025-03-26,209052
PROD1078,Politics,Electronics,1890,5,13284,2024-06-29,66420
PROD1079,Real,Electronics,1039,8,48668,2025-04-26,389344
PROD1079,Real,Electronics,1097,10,32385,2024-06-03,323850
PROD1079,Real,Electronics,1110,4,20290,2024-03-30,81160
PROD1079,Real,Electronics,1162,10,26874,2024-02-21,268740
PROD1079,Real,Electronics,1359,2,42503,2024-12-27,85006
PROD1079,Real,Electronics,1405,9,17417,2025-02-20,156753
PROD1079,Real,Electronics,1467,4,46901,2024-06-08,187604
PROD1079,Real,Electronics,1535,4,22172,2024-08-25,88688
PROD1079,Real,Electronics,1564,10,20172,2025-01-29,201720
PROD1079,Real,Electronics,1622,6,60923,2024-03-05,365538
PROD1079,Real,Electronics,1639,5,43849,2025-06-03,219245
PROD1079,Real,Electronics,1959,3,42950,2024-07-02,128850
PROD1079,Real,Electronics,1972,5,64389,2023-11-24,321945
PROD1079,Real,Electronics,1997,6,10659,2025-06-08,63954
PROD1080,Foreign,Electronics,1024,1,25740,2024-08-02,25740
PROD1080,Foreign,Electronics,1066,5,32270,2024-12-16,161350
PROD1080,Foreign,Electronics,1079,10,30546,2024-10-29,305460
PROD1080,Foreign,Electronics,1133,6,55394,2025-03-10,332364
PROD1080,Foreign,Electronics,1155,8,53147,2024-02-18,425176
PROD1080,Foreign,Electronics,1240,2,57074,2023-09-07,114148
PROD1080,Foreign,Electronics,1290,10,17755,2024-10-08,177550
PROD1080,Foreign,Electronics,1346,9,51295,2025-06-27,461655
PROD1080,Foreign,Electronics,1373,3,49818,2024-05-24,149454
PROD1080,Foreign,Electronics,1427,9,66842,2024-02-03,601578
PROD1080,Foreign,Electronics,1582,2,59511,2024-10-30,119022
PROD1080,Foreign,Electronics,1604,3,44736,2024-10-20,134208
PROD1080,Foreign,Electronics,1608,8,14920,2025-02-27,119360
PROD1080,Foreign,Electronics,1814,9,14331,2024-01-10,128979
PROD1081,Interesting,Electronics,1106,10,5035,2025-03-15,50350
PROD1081,Interesting,Electronics,1152,2,5327,2024-07-09,10654
PROD1081,Interesting,Electronics,1488,9,62002,2024-12-29,558018
PROD1081,Interesting,Electronics,1618,5,55781,2024-09-09,278905
PROD1081,Interesting,Electronics,1645,3,22732,2024-07-26,68196
PROD1081,Interesting,Electronics,1789,6,42318,2024-09-11,253908
PROD1081,Interesting,Electronics,1792,10,14703,2025-05-27,147030
PROD1081,Interesting,Electronics,1850,5,26497,2025-03-03,132485
PROD1081,Interesting,Electronics,1983,2,34370,2025-03-02,68740
PROD1086,Beat,Electronics,1051,3,12262,2025-03-04,36786
PROD1086,Beat,Electronics,1168,5,60518,2024-08-25,302590
PROD1086,Beat,Electronics,1377,5,34010,2024-05-11,170050
PROD1086,Beat,Electronics,1429,1,46962,2023-11-06,46962
PROD1086,Beat,Electronics,1781,9,34656,2025-06-26,311904
PROD1086,Beat,Electronics,1968,8,24436,2024-07-13,195488
PROD1087,Arm,Electronics,1222,6,33707,2024-10-30,202242
PROD1087,Arm,Electronics,1338,3,38414,2024-03-09,115242
PROD1087,Arm,Electronics,1404,10,63642,2024-01-27,636420
PROD1087,Arm,Electronics,1544,2,66767,2024-11-24,133534
PROD1087,Arm,Electronics,1677,4,21451,2023-08-03,85804
PROD1087,Arm,Electronics,1761,5,66088,2024-06-24,330440
PROD1087,Arm,Electronics,1931,3,32416,2024-04-21,97248
PROD1089,Network,Electronics,1118,2,25744,2024-06-28,51488
PROD1089,Network,Electronics,1145,10,33552,2025-04-22,335520
PROD1089,Network,Electronics,1157,9,65677,2023-10-15,591093
PROD1089,Network,Electronics,1247,4,46059,2024-02-10,184236
PROD1089,Network,Electronics,1398,2,52091,2025-04-08,104182
PROD1089,Network,Electronics,1479,7,38905,2024-03-14,272335
PROD1089,Network,Electronics,1552,7,61244,2024-09-02,428708
PROD1089,Network,Electronics,1921,6,38332,2025-02-22,229992
PROD1091,Off,Electronics,1105,9,18654,2025-06-03,167886
PROD1091,Off,Electronics,1194,3,47607,2023-10-27,142821
PROD1091,Off,Electronics,1366,9,13845,2024-11-11,124605
PROD1091,Off,Electronics,1422,9,51102,2024-11-11,459918
PROD1091,Off,Electronics,1513,3,14657,2025-01-01,43971
PROD1091,Off,Electronics,1518,4,69626,2023-11-27,278504
PROD1091,Off,Electronics,1569,10,31410,2024-09-05,314100
PROD1091,Off,Electronics,1786,7,48344,2024-08-18,338408
PROD1091,Off,Electronics,1874,7,12945,2025-03-28,90615
PROD1091,Off,Electronics,1888,2,13865,2023-07-16,27730
PROD1096,Great,Electronics,1176,7,50612,2025-05-18,354284
PROD1096,Great,Electronics,1208,5,2324,2025-03-06,11620
PROD1096,Great,Electronics,1270,3,8166,2025-06-09,24498
PROD1096,Great,Electronics,1332,6,49267,2024-02-12,295602
PROD1096,Great,Electronics,1344,9,22298,2024-11-16,200682
PROD1096,Great,Electronics,1550,5,68534,2025-02-01,342670
PROD1096,Great,Electronics,1588,4,29641,2025-06-07,118564
PROD1096,Great,Electronics,1589,2,24558,2024-03-31,49116
PROD1096,Great,Electronics,1662,2,57761,2023-08-17,115522
PROD1096,Great,Electronics,1671,6,6066,2025-02-21,36396
PROD1096,Great,Electronics,1728,5,48646,2024-06-28,243230
PROD1096,Great,Electronics,1764,6,62568,2024-04-20,375408
PROD1096,Great,Electronics,1881,4,4097,2025-01-09,16388
PROD1096,Great,Electronics,1910,2,15255,2025-01-15,30510
PROD1096,Great,Electronics,1920,7,37523,2025-01-21,262661
PROD1100,Product,Electronics,1191,7,29000,2024-06-29,203000
PROD1100,Product,Electronics,1512,7,69011,2025-05-24,483077
PROD1100,Product,Electronics,1521,9,49715,2023-12-03,447435
PROD1100,Product,Electronics,1830,2,54268,2023-09-10,108536
PROD1100,Product,Electronics,1924,1,69667,2023-08-31,69667
PROD1100,Product,Electronics,1987,6,66588,2023-12-18,399528
PROD1100,Product,Electronics,1994,5,3721,2024-01-10,18605
